|name      |spect_type  |vmag |ra_deg      |dec_deg     |bv_color|
|HIP 78265 |B1V + B2V   | 2.89|239.71300283|-26.11404280|  -0.180|
|HIP 63125 |A0spe...    | 2.89|194.00767051|+38.31824617|  -0.115|
|HIP 80112 |B1III       | 2.90|245.29717718|-25.59275259|   0.299|
|HIP 106278|G0Ib        | 2.90|322.88966951|-05.57115593|   0.828|
|HIP 18532 |B0.5V       | 2.90|059.46342138|+40.01027315|  -0.199|
|HIP 14328 |G8III+...   | 2.91|046.19912598|+53.50645031|   0.716|
|HIP 48002 |A9          | 2.92|146.77557340|-65.07201888|   0.273|
|HIP 112158|G2II-III..  | 2.93|340.75053573|+30.22130866|   0.852|
|HIP 60965 |B9.5V       | 2.94|187.46659650|-16.51509397|  -0.012|
|HIP 32768 |K0III...    | 2.94|102.48390349|-50.61439973|   1.207|
|HIP 109074|G2Ib        | 2.95|331.44593869|-00.31982656|   0.969|
|HIP 26451 |B4IIIp      | 2.97|084.41118447|+21.14259299|  -0.148|
|HIP 18543 |M1IIIb Ca-1 | 2.97|059.50720862|-13.50824471|   1.588|
|HIP 47908 |G0II        | 2.97|146.46292670|+23.77427792|   0.808|
|HIP 88635 |K0III       | 2.98|271.45218586|-30.42365007|   0.981|
|HIP 93747 |A0Vn        | 2.99|286.35255180|+13.86370983|   0.014|
|HIP 87073 |F3Ia        | 2.99|266.89617137|-40.12698197|   0.509|
|HIP 64962 |G8III       | 2.99|199.73022240|-23.17141246|   0.920|
|HIP 10064 |A5III       | 3.00|032.38550383|+34.98739204|   0.140|
|HIP 54539 |K1III       | 3.00|167.41608092|+44.49855337|   1.144|
|HIP 75097 |A3II-III    | 3.00|230.18228840|+71.83397308|   0.058|
|HIP 108085|B8III       | 3.00|328.48189202|-37.36482290|  -0.084|
|HIP 82514 |B1.5IV + B  | 3.00|252.96766195|-38.04732717|  -0.200|
|HIP 17358 |B5III SB    | 3.01|055.73117540|+47.78765330|  -0.125|
|HIP 33977 |B3Ia        | 3.02|105.75613986|-23.83330131|  -0.077|
|HIP 30122 |B2.5V       | 3.02|095.07827982|-30.06337656|  -0.160|
|HIP 59316 |K2III       | 3.02|182.53135773|-22.61979211|   1.326|
|HIP 23416 |F0Ia        | 3.03|075.49222507|+43.82331397|   0.537|
|HIP 71075 |A7IIIvar    | 3.04|218.01982421|+38.30788348|   0.191|
|HIP 62322 |B2V         | 3.04|191.57029013|-68.10809405|  -0.178|
|HIP 95947 |K3II+...    | 3.05|292.68035529|+27.95969480|   1.088|
|HIP 100345|A5:n        | 3.05|305.25269347|-14.78140119|   0.790|
|HIP 50801 |M0III SB    | 3.06|155.58251355|+41.49943350|   1.603|
|HIP 32246 |A3mA6-A9    | 3.06|100.98304088|+25.13115531|   1.377|
|HIP 94376 |G9III       | 3.07|288.13814581|+67.66131695|   0.990|
|HIP 89642 |M2III       | 3.10|274.40720490|-36.76128103|   1.582|
|HIP 52943 |K0/K1III    | 3.11|162.40596699|-16.19413208|   1.232|
|HIP 43813 |G8III-IV    | 3.11|133.84868687|+05.94552770|   0.978|
|HIP 101772|K0III       | 3.11|309.39162365|-47.29166239|   0.998|
|HIP 56561 |B9II:       | 3.11|173.94553448|-63.01982488|  -0.044|
|HIP 84379 |A3IVv SB    | 3.12|258.75801735|+24.83958739|   0.080|
|HIP 44127 |A7IV        | 3.12|134.80349479|+48.04234956|   0.223|
|HIP 27628 |K1.5III     | 3.12|087.73980340|-35.76929225|   1.146|
|HIP 83081 |K5III       | 3.12|254.65512817|-55.99005508|   1.552|
|HIP 73334 |B2IV        | 3.13|224.79041254|-42.10414199|  -0.208|
|HIP 45860 |M0IIIvar    | 3.14|140.26441169|+34.39252592|   1.550|
|HIP 46701 |K5III       | 3.16|142.80564072|-57.03439160|   1.538|
|HIP 84380 |K3IIvar     | 3.16|258.76189282|+36.80915527|   1.437|
|HIP 83895 |B6III       | 3.17|257.19677111|+65.71463676|  -0.120|
|HIP 46853 |F6IV        | 3.17|143.21802191|+51.67860208|   0.475|
|HIP 31685 |B8III SB    | 3.17|099.44029869|-43.19592394|  -0.103|
|HIP 92041 |B8.5III     | 3.17|281.41397083|-26.99077940|  -0.107|
|HIP 23767 |B3V         | 3.18|076.62862102|+41.23464074|  -0.148|
|HIP 71908 |F1Vp        | 3.18|220.62785433|-64.97456957|   0.256|
|HIP 83000 |K2IIIvar    | 3.19|254.41779418|+09.37505626|   1.160|
|HIP 23685 |K4III       | 3.19|076.36521705|-22.37085673|   1.460|
|HIP 87261 |K0/K1III    | 3.19|267.46438020|-37.04337105|   1.192|
|HIP 22449 |F6V         | 3.19|072.45890935|+06.96124744|   0.484|
|HIP 116727|K1IV        | 3.21|354.83742516|+77.63196681|   1.031|
|HIP 104732|G8II SB     | 3.21|318.23408977|+30.22708128|   0.990|
|HIP 75141 |B1.5IV      | 3.22|230.34306833|-40.64745946|  -0.227|
|HIP 79882 |G8III       | 3.23|244.58016994|-04.69260809|   0.966|
|HIP 89962 |K0III-IV    | 3.23|275.32883578|-02.89712200|   0.941|
|HIP 106032|B2IIIv SB   | 3.23|322.16489595|+70.56069481|  -0.201|
|HIP 32607 |A7IV        | 3.24|102.04807134|-61.94197988|   0.225|
|HIP 99473 |B9.5III     | 3.24|302.82610327|-00.82147569|  -0.066|
|HIP 68895 |K2III       | 3.25|211.59278733|-26.68201883|   1.091|
|HIP 73714 |M3/M4III    | 3.25|226.01775793|-25.28185602|   1.674|
|HIP 93194 |B9III       | 3.25|284.73593568|+32.68955312|  -0.049|
|HIP 36377 |K5III SB    | 3.25|112.30782630|-43.30189129|   1.509|
|HIP 17678 |M2III       | 3.26|056.80929799|-74.23924251|   1.590|
|HIP 84970 |B2IV        | 3.27|260.50243371|-24.99948797|  -0.186|
|HIP 113136|A3V         | 3.27|343.66266350|-15.82075994|   0.066|
|HIP 3092  |K3III...    | 3.27|009.83165567|+30.86122579|   1.268|
|HIP 75458 |K2III       | 3.29|231.23243370|+58.96602354|   1.166|
|HIP 24305 |B9IV: HgMn  | 3.29|078.23280460|-16.20542901|  -0.110|
|HIP 50099 |B8III       | 3.29|153.43449551|-70.03792169|  -0.074|
|HIP 21281 |A0V:        | 3.30|068.49882684|-55.04500559|  -0.079|
|HIP 51576 |B4Vne       | 3.30|158.00618250|-61.68536031|  -0.089|
|HIP 29655 |M3III       | 3.31|093.71956952|+22.50682376|   1.600|
|HIP 85267 |B1Ib        | 3.31|261.34858274|-56.37768824|  -0.150|
|HIP 14354 |M3IIIvar    | 3.32|046.29373754|+38.84053298|   1.528|
|HIP 84143 |F3p         | 3.32|258.03823300|-43.23849039|   0.441|
|HIP 5165  |G8IIIvar    | 3.32|016.52127713|-46.71849042|   0.885|
|HIP 59774 |A3Vvar      | 3.32|183.85603795|+57.03259792|   0.077|
|HIP 93864 |K1/K2III    | 3.32|286.73517629|-27.66981416|   1.169|
|HIP 88048 |K0III       | 3.32|269.75665662|-09.77334973|   0.987|
|HIP 54879 |A2V         | 3.33|168.56017036|+15.42976310|  -0.003|
|HIP 19780 |G7III       | 3.33|063.60596306|-62.47397888|   0.915|
|HIP 38170 |G6Ia        | 3.34|117.32357809|-24.85978401|   1.218|
|HIP 41704 |G4II-III    | 3.35|127.56679232|+60.71843110|   0.856|
|HIP 32362 |F5IV        | 3.35|101.32263980|+12.89605513|   0.443|
|HIP 8886  |B2pvar      | 3.35|028.59868107|+63.67014686|  -0.150|
|HIP 25281 |B1V + B2    | 3.35|081.11923774|-02.39713844|  -0.240|
|HIP 95501 |F0IV        | 3.36|291.37396941|+03.11457923|   0.319|
|HIP 75264 |B2IV-V      | 3.37|230.67036465|-44.68957314|  -0.191|
|HIP 43109 |G0III-IV    | 3.38|131.69435930|+06.41890691|   0.685|
|HIP 66249 |A3V         | 3.38|203.67397800|-00.59593821|   0.114|
|HIP 109492|K1Ibv SB    | 3.39|332.71359131|+58.20124992|   1.558|
|HIP 50371 |K3II        | 3.39|154.27085535|-61.33231977|   1.541|
|HIP 26207 |O...        | 3.39|083.78449043|+09.93416294|  -0.160|
|HIP 63090 |M3III       | 3.39|193.90201366|+03.39759862|   1.571|
|HIP 20894 |A7III       | 3.40|067.16531219|+15.87094680|   0.179|
|HIP 74395 |G8III       | 3.41|228.07167982|-52.09907465|   0.918|
|HIP 18724 |B3V + A     | 3.41|060.17008591|+12.49037571|  -0.099|
|HIP 6867  |K5II-III    | 3.41|022.09142360|-43.31772906|   1.542|
|HIP 102422|K0IV        | 3.41|311.32195263|+61.83679404|   0.912|
|HIP 67464 |B2IV        | 3.41|207.37623920|-41.68765971|  -0.225|
|HIP 112029|B8.5V       | 3.41|340.36531181|+10.83139111|  -0.086|
|HIP 8796  |F6IV        | 3.42|028.27041595|+29.57939727|   0.488|
|HIP 102395|A5IV        | 3.42|311.23981530|-66.20323826|   0.163|
|HIP 86974 |G5IV        | 3.42|266.61549553|+27.72249917|   0.750|
|HIP 78384 |B2.5IV      | 3.42|240.03058543|-38.39664079|  -0.206|
|HIP 50335 |F0III       | 3.43|154.17251805|+23.41732840|   0.307|
|HIP 93805 |B9Vn        | 3.43|286.56229139|-04.88233456|  -0.096|
|HIP 45080 |B2IV        | 3.43|137.74210535|-58.96693014|  -0.190|
|HIP 50372 |A2IV        | 3.45|154.27469564|+42.91446855|   0.029|
|HIP 3821  |G0V SB      | 3.46|012.27125262|+57.81654770|   0.587|
|HIP 5364  |K2III       | 3.46|017.14693197|-10.18192800|   1.161|
|HIP 38827 |B3IVp       | 3.46|119.19475729|-52.98240062|  -0.177|
|HIP 74666 |G8III       | 3.46|228.87543241|+33.31510222|   0.961|
|HIP 67472 |B2IV-Ve     | 3.47|207.40419934|-42.47368506|  -0.170|
|HIP 12706 |A3V         | 3.47|040.82551897|+03.23617162|   0.093|
|HIP 81833 |G8III-IV    | 3.48|250.72391068|+38.92246103|   0.916|
|HIP 49583 |A0Ib        | 3.48|151.83313948|+16.76266572|  -0.031|
|HIP 33856 |K4III       | 3.49|105.42979876|-27.93484165|   1.729|
|HIP 8102  |G8V         | 3.49|026.02136441|-15.93955597|   0.727|
|HIP 90422 |B3IV        | 3.49|276.74345947|-45.96832919|  -0.179|
|HIP 55219 |K3III SB    | 3.49|169.61981385|+33.09423881|   1.400|
|HIP 73555 |G8III       | 3.49|225.48663804|+40.39063671|   0.956|
|HIP 112623|A3V         | 3.49|342.13832136|-51.31670354|   0.083|
|HIP 35550 |F0IV...     | 3.50|110.03078890|+21.98233941|   0.374|
|HIP 112724|K0III       | 3.50|342.42046735|+66.20071089|   1.053|
|HIP 32759 |B1.5IVne    | 3.50|102.46027285|-32.50848752|  -0.116|
|HIP 112748|M2III       | 3.51|342.50041810|+24.60168486|   0.933|
|HIP 98337 |K5III       | 3.51|299.68911516|+19.49209287|   1.571|
|HIP 47508 |A5V+...     | 3.52|145.28799116|+09.89239902|   0.516|
|HIP 93085 |G8/K0II/III | 3.52|284.43241556|-21.10662433|   1.151|
|HIP 109427|A2V         | 3.52|332.54924902|+06.19778900|   0.086|
|HIP 48774 |B5Ib        | 3.52|149.21564520|-54.56779730|  -0.067|
|HIP 92420 |A8:V comp SB| 3.52|282.51997462|+33.36267788|   0.003|
|HIP 17378 |K0IV        | 3.52|055.81231706|-09.76519868|   0.915|
|HIP 20889 |K0III       | 3.53|067.15388879|+19.18052092|   1.014|
|HIP 40526 |K4III       | 3.53|124.12895101|+09.18566295|   1.481|
|HIP 56343 |G8III       | 3.54|173.25107936|-31.85752405|   0.947|
|HIP 86263 |F0IIIp      | 3.54|264.39677181|-15.39840835|   0.262|
|HIP 77516 |A0V         | 3.54|237.40527375|-03.43014112|  -0.036|
|HIP 99240 |G5IV-Vvar   | 3.55|302.17441713|-66.17932101|   0.751|
|HIP 69996 |B2.5IV      | 3.55|214.85096972|-46.05808391|  -0.184|
|HIP 89937 |F7Vvar      | 3.55|275.25974572|+72.73369763|   0.489|
|HIP 20042 |B9V         | 3.55|064.47341068|-33.79833145|  -0.108|
|HIP 27288 |A2Vann      | 3.55|086.73895728|-14.82194717|   0.104|
|HIP 82545 |B2IV        | 3.56|253.08397295|-38.01747781|  -0.210|
|HIP 10602 |B8IV-V      | 3.56|034.12708452|-51.51211145|  -0.120|
|HIP 1562  |K2III       | 3.56|004.85701265|-08.82382948|   1.214|
|HIP 55282 |K0III       | 3.56|169.83551103|-14.77904358|   1.112|
|HIP 44471 |A1Vn        | 3.57|135.90649494|+47.15665934|   0.007|
|HIP 71053 |K3III       | 3.57|217.95774098|+30.37114497|   1.298|
|HIP 75177 |K5III       | 3.57|230.45181856|-36.26116729|   1.534|
|HIP 37740 |G8III       | 3.57|116.11195237|+24.39812929|   0.932|
|HIP 100064|G6/G8III    | 3.58|304.51341030|-12.54485877|   0.883|
|HIP 35350 |A3V...      | 3.58|109.52336162|+16.54047526|   0.106|
|HIP 7607  |K3III       | 3.59|024.49792651|+48.62848641|   1.275|
|HIP 24674 |B5III       | 3.59|079.40166225|-06.84438616|  -0.115|
|HIP 27072 |F7V         | 3.59|086.11656241|-22.44748663|   0.481|
|HIP 60260 |K3/K4III    | 3.59|185.34088036|-60.40136988|   1.389|
|HIP 57757 |F8V         | 3.59|177.67202553|+01.76537705|   0.518|
